Age group ,Population,At least one dose,At least one dose percent,Fully Vaccinated,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
75+,284821,273153,95.9,252353,88.6,193736,68,10/26/2022
Unknown,,660,,573,,,,10/26/2022
0-4,183070,22097,12.1,12072,6.6,88,0,11/03/2022
5-9,197078,100389,50.9,89520,45.4,14196,7.2,11/03/2022
10-14,214123,156563,73.1,143938,67.2,45398,21.2,11/03/2022
15-24,482051,409126,84.9,355359,73.7,165493,34.3,11/03/2022
25-34,455862,401758,88.1,351861,77.2,163026,35.8,11/03/2022
35-44,437481,398240,91,359807,82.2,194180,44.4,11/03/2022
45-54,466073,429123,92.1,398338,85.5,247454,53.1,11/03/2022
55-64,518115,501217,96.7,470429,90.8,332122,64.1,11/03/2022
65-74,367270,367016,99.9,343186,93.4,271693,74,11/03/2022
75+,284821,273154,95.9,252358,88.6,193915,68.1,11/03/2022
Unknown,,666,,580,,,,11/03/2022
0-4,183070,22435,12.3,12598,6.9,90,0,11/09/2022
5-9,197078,100514,51,89651,45.5,14230,7.2,11/09/2022
10-14,214123,156628,73.1,144021,67.3,45423,21.2,11/09/2022
15-24,482051,409147,84.9,355442,73.7,165589,34.4,11/09/2022
25-34,455862,401765,88.1,351938,77.2,163132,35.8,11/09/2022
35-44,437481,398096,91,359818,82.2,194332,44.4,11/09/2022
45-54,466073,429048,92.1,398371,85.5,247588,53.1,11/09/2022
55-64,518115,501123,96.7,470453,90.8,332245,64.1,11/09/2022
65-74,367270,366960,99.9,343207,93.4,271812,74,11/09/2022
75+,284821,273105,95.9,252362,88.6,193956,68.1,11/09/2022
Unknown,,671,,585,,,,11/09/2022
0-4,183070,23014,12.6,13324,7.3,98,0.1,11/16/2022
5-9,197078,100684,51.1,89826,45.6,14309,7.3,11/16/2022
10-14,214123,156680,73.2,144114,67.3,45483,21.2,11/16/2022
15-24,482051,409147,84.9,355534,73.8,165696,34.4,11/16/2022
25-34,455862,401588,88.1,351959,77.2,163301,35.8,11/16/2022
35-44,437481,397929,91,359850,82.3,194529,44.5,11/16/2022
45-54,466073,428897,92,398373,85.5,247745,53.2,11/16/2022
55-64,518115,500925,96.7,470422,90.8,332445,64.2,11/16/2022
65-74,367270,366790,99.9,343215,93.5,271992,74.1,11/16/2022
75+,284821,272933,95.8,252332,88.6,194079,68.1,11/16/2022
Unknown,,668,,582,,,,11/16/2022
0-4,183070,23362,12.8,13770,7.5,101,0.1,11/22/2022
5-9,197078,100792,51.1,89960,45.6,14362,7.3,11/22/2022
10-14,214123,156671,73.2,144179,67.3,45523,21.3,11/22/2022
15-24,482051,409017,84.8,355563,73.8,165775,34.4,11/22/2022
25-34,455862,401395,88.1,352004,77.2,163457,35.9,11/22/2022
35-44,437481,397680,90.9,359880,82.3,194778,44.5,11/22/2022
45-54,466073,428621,92,398357,85.5,247971,53.2,11/22/2022
55-64,518115,500636,96.6,470343,90.8,332618,64.2,11/22/2022
65-74,367270,366593,99.8,343160,93.4,272138,74.1,11/22/2022
