Age group ,Population,At least one dose,At least one dose percent,Fully Vaccinated,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
45-54,476905,344065,72.1,301897,63.3,,,06/09/2021
55-64,513455,428057,83.4,389145,75.8,,,06/09/2021
65-74,352819,319642,90.6,299819,85,,,06/09/2021
75+,277425,241299,87,226892,81.8,,,06/09/2021
<2,70167,0,0,0,0,,,06/02/2021
2-11,389173,0,0,0,0,,,06/02/2021
12-15,176600,59830,33.9,127,0.1,,,06/02/2021
16-24,433573,231964,53.5,181100,41.8,,,06/02/2021
25-34,448029,254939,56.9,211302,47.2,,,06/02/2021
35-44,427141,282446,66.1,238564,55.9,,,06/02/2021
45-54,476905,340201,71.3,294949,61.8,,,06/02/2021
55-64,513455,425038,82.8,383454,74.7,,,06/02/2021
65-74,352819,318344,90.2,297362,84.3,,,06/02/2021
75+,277425,240163,86.6,225389,81.2,,,06/02/2021
<2,70167,0,0,0,0,,,05/26/2021
2-11,389173,0,0,0,0,,,05/26/2021
12-15,176600,52566,29.8,91,0.1,,,05/26/2021
16-24,433573,224593,51.8,169849,39.2,,,05/26/2021
25-34,448029,248418,55.4,200804,44.8,,,05/26/2021
35-44,427141,276454,64.7,227879,53.3,,,05/26/2021
45-54,476905,335742,70.4,286776,60.1,,,05/26/2021
55-64,513455,421670,82.1,377150,73.5,,,05/26/2021
65-74,352819,317038,89.9,294718,83.5,,,05/26/2021
75+,277425,239444,86.3,224109,80.8,,,05/26/2021
<2,70167,0,0,0,0,,,09/15/2021
2-11,389173,0,0,0,0,,,09/15/2021
12-15,176600,117564,66.6,101457,57.5,,,09/15/2021
16-24,433573,300956,69.4,264483,61,,,09/15/2021
25-34,448029,320499,71.5,284840,63.6,,,09/15/2021
35-44,427141,338850,79.3,308009,72.1,,,09/15/2021
45-54,476905,382302,80.2,357788,75,,,09/15/2021
55-64,513455,456862,89,433747,84.5,,,09/15/2021
65-74,352819,333004,94.4,318197,90.2,,,09/15/2021
75+,277425,248995,89.8,236352,85.2,,,09/15/2021
<2,70167,0,0,0,0,,,05/20/2021
2-11,389173,0,0,0,0,,,05/20/2021
12-15,176600,29158,16.5,31,0,,,05/20/2021
16-24,433573,212439,49,152541,35.2,,,05/20/2021
25-34,448029,238808,53.3,185867,41.5,,,05/20/2021
35-44,427141,267128,62.5,212514,49.8,,,05/20/2021
45-54,476905,329013,69,276072,57.9,,,05/20/2021
55-64,513455,416722,81.2,368852,71.8,,,05/20/2021
65-74,352819,315045,89.3,291195,82.5,,,05/20/2021
75+,277425,238529,86,222323,80.1,,,05/20/2021
15 or below,635940,0,0,0,0,,,05/12/2021
16-24,433573,198773,45.8,117872,27.2,,,05/12/2021
25-34,448029,227600,50.8,158353,35.3,,,05/12/2021
35-44,427141,256137,60,182483,42.7,,,05/12/2021
45-54,476905,321008,67.3,257148,53.9,,,05/12/2021
55-64,513455,410775,80,355298,69.2,,,05/12/2021
65-74,352819,312810,88.7,285827,81,,,05/12/2021
<5,181710,,,,,,,04/06/2022
75+,277425,237349,85.6,219615,79.2,,,05/12/2021
Age unknown,,464,,206,,,,05/12/2021
<2,70167,0,0,0,0,,,09/08/2021
2-11,389173,0,0,0,0,,,09/08/2021
12-15,176600,115739,65.5,98047,55.5,,,09/08/2021
16-24,433573,297932,68.7,260766,60.1,,,09/08/2021
25-34,448029,316368,70.6,280378,62.6,,,09/08/2021
35-44,427141,335558,78.6,304283,71.2,,,09/08/2021
45-54,476905,379999,79.7,355061,74.5,,,09/08/2021
55-64,513455,455168,88.6,431777,84.1,,,09/08/2021
65-74,352819,332071,94.1,317469,90,,,09/08/2021
75+,277425,248366,89.5,235974,85.1,,,09/08/2021
<2,70167,0,0,0,0,,,09/01/2021
2-11,389173,0,0,0,0,,,09/01/2021
12-15,176600,113798,64.4,94918,53.7,,,09/01/2021
16-24,433573,294898,68,257460,59.4,,,09/01/2021
25-34,448029,312375,69.7,276705,61.8,,,09/01/2021
35-44,427141,332467,77.8,300980,70.5,,,09/01/2021
45-54,476905,377832,79.2,352578,73.9,,,09/01/2021
55-64,513455,453506,88.3,429950,83.7,,,09/01/2021
65-74,352819,331121,93.9,316742,89.8,,,09/01/2021
75+,277425,247713,89.3,235612,84.9,,,09/01/2021
<2,70167,0,0,0,0,,,08/25/2021
2-11,389173,0,0,0,0,,,08/25/2021
12-15,176600,110149,62.4,90639,51.3,,,08/25/2021
16-24,433573,290030,66.9,252792,58.3,,,08/25/2021
25-34,448029,306871,68.5,271994,60.7,,,08/25/2021
35-44,427141,328008,76.8,296852,69.5,,,08/25/2021
45-54,476905,374663,78.6,349400,73.3,,,08/25/2021
55-64,513455,451141,87.9,427593,83.3,,,08/25/2021
65-74,352819,329735,93.5,315742,89.5,,,08/25/2021
75+,277425,246809,89,235092,84.7,,,08/25/2021
<2,70167,0,0,0,0,,,08/18/2021
2-11,389173,0,0,0,0,,,08/18/2021
12-15,176600,106485,60.3,86840,49.2,,,08/18/2021
16-24,433573,285526,65.9,248499,57.3,,,08/18/2021
25-34,448029,301970,67.4,268086,59.8,,,08/18/2021
35-44,427141,324171,75.9,293394,68.7,,,08/18/2021
45-54,476905,371808,78,346641,72.7,,,08/18/2021
55-64,513455,448980,87.4,425439,82.9,,,08/18/2021
65-74,352819,328507,93.1,314891,89.3,,,08/18/2021
75+,277425,245944,88.7,234679,84.6,,,08/18/2021
<2,70167,0,0,0,0,,,08/12/2021
2-11,389173,0,0,0,0,,,08/12/2021
12-15,176600,102292,57.9,83349,47.2,,,08/12/2021
16-24,433573,280398,64.7,244250,56.3,,,08/12/2021
25-34,448029,296561,66.2,264412,59,,,08/12/2021
35-44,427141,319717,74.9,290183,67.9,,,08/12/2021
45-54,476905,368512,77.3,344066,72.1,,,08/12/2021
55-64,513455,446589,87,423489,82.5,,,08/12/2021
65-74,352819,327440,92.8,314029,89,,,08/12/2021
75+,277425,245271,88.4,234223,84.4,,,08/12/2021
<2,70167,0,0,0,0,,,08/12/2021
2-11,389173,0,0,0,0,,,08/12/2021
12-15,176600,102292,57.9,83349,47.2,,,08/12/2021
16-24,433573,280398,64.7,244250,56.3,,,08/12/2021
25-34,448029,296561,66.2,264412,59,,,08/12/2021
35-44,427141,319717,74.9,290183,67.9,,,08/12/2021
45-54,476905,368512,77.3,344066,72.1,,,08/12/2021
55-64,513455,446589,87,423489,82.5,,,08/12/2021
65-74,352819,327440,92.8,314029,89,,,08/12/2021
75+,277425,245271,88.4,234223,84.4,,,08/12/2021
<2,70167,0,0,0,0,,,08/04/2021
2-11,389173,0,0,0,0,,,08/04/2021
12-15,176600,96356,54.6,80750,45.7,,,08/04/2021
16-24,433573,272857,62.9,240376,55.4,,,08/04/2021
25-34,448029,289112,64.5,261417,58.3,,,08/04/2021
35-44,427141,313212,73.3,287465,67.3,,,08/04/2021
45-54,476905,363501,76.2,341736,71.7,,,08/04/2021
<5,181710,,,,,,,04/13/2022
55-64,513455,442830,86.2,421630,82.1,,,08/04/2021
